,tweet_raw_text,task_1
748,: I HAVE MADE THE FUCKING DISCOVERY THAT WHEN I SAID YOU SAVED MY LIFE TO FELIX HE REPLIED YOU SAVED MINE,HOF
749,: I posted a big ass long post on my insta but taken one year apart where the different is not just the upgraded cosplay or t,HOF
750,: Simple salad: poached chicken in wasabi orange mayo; segmented orange; Lebanese cucumber slices; black sesame seeds,NOT
751,"We will never get the truth from this whole James Charles drama it seems, its true theres two sides, but how we k",NOT
752,I mean I hate Taylor Swift too but Im not about to say shes copying Beyonc! I will say Beyonc did it better tho,NOT
753,"ah, I get it...SNP supporters abused you",HOF
754,Youre an ignorant clown,HOF
755,Get it!!,NOT
756,Will the Raptors show up and help Kawhi defend home court or is Milwaukee going to go up -0?,NOT
757,: We hate nazis right?? We extra hate nazis who work for the NC division of prisons right??? Glad you're on board. This,HOF
758,AFTER YEARS I GET OFF PROBATION INNA MONTH BITCH BIG GAS SLATT,HOF
759,": How u gon say pissy pamper trash, my damn dog turnin up to that shit u bitch boi",HOF
760,: Whoa! just said Trump is a fucking idiot...sorry to the kids out there on LIVE TV while juggling all th,HOF
761,Oh and to add to that hes only,NOT
762,Just walking out that fucking place im exhausted,HOF
763,: Liverpool quote (after sick Chelsea fans sung about Mo Salah: This behaviour needs to be called out for what it is - unadult,NOT
764,"I dont like this, but I get it.",NOT
765,This little fake ass meeting is making me anxious,HOF
766,: Watch my fuck a fan video!! -&gt; playing on my private Snapchat,HOF
767,: Bitch was that pac,HOF
768,": Y'all better be mindful of who y'all have around y'all kids, shit like this don't need to happen.. fr that shit there make m",HOF
769,Way to go Nina for calling out the Fugazy Tiffany Lamp!,NOT
770,: He aint on drugs he just bored. I be doing the same shit when Im bored,HOF
771,: So I promised my wife that when she moved to Lagos she would get a lot of jobs and I am bent on keeping t,NOT
772,": Dont Need No Hateration, Holleration in this Danceree",NOT
773,I don't know jen jen but it's gross,NOT
774,i have two holes for a fucking reason,HOF
775,Meen know what you want me tell you inno,NOT
776,": Daenerys of the House Targaryen, the First of Her Name, Breaker of Chains, Mother of Dragons, watcher of NBA games. ht",NOT
777,War criminal. You make me sick,HOF
778,mei can have been involved in something like a movie franchise and still forget what the fuck happened or whats n,HOF
779,Some very fine people,NOT
780,"Damn Rob, you need to go back to school.",HOF
781,: Get these old white men THE FUCK up outta here dawg. Shit ridiculous. Theyre trying to kill us. They dont give a FUC,HOF
782,"Its late and i just remembered how fucking big Juggernaut was on deadpool , and its getting me hot and bothered",HOF
783,Want to play competitive Head over to And show us what you've got!,NOT
784,: People: *calling characters + cm in height as short*My cm gremlin ass:,NOT
785,: NCT to perform on 'Good Morning America',NOT
786,: when you forget to turn off your alarm and it wakes you up on a day you dont need to get up,NOT
787,": At this point , fuck it",HOF
788,: on IG i have followers and on the last pic i posted it only got likes. im not trying to start shit with anyone but,HOF
789,": No oneeer: / || \ / || \ ""I need to get / ||",NOT
790,: I am so SICK of Republicans endorsing positions simply to appease the media and the leftThe media loves Republicans th,HOF
791,little chaer,NOT
792,YOU TRULY ARE A F**KING MORON! .. ..SIMPLY CLUELESS AS TO HOW TARIFFS WORK! NO WONDER YOU LOS,HOF
793,: Purchase $92.57 OK?I mean its definitely not ok but I need it so like fuck me I guess,HOF
794,: i want to suck the nut of him,HOF
795,: they look so damn expensive,HOF
796,"Youre a good good Father, its who You are.",NOT
797,: Done repeating myself if you dont act ya part ya getting replaced sorry not sorry,NOT
798,Bitches be pressed as fuuuuuck!!!!! You don't like my content... Stay the fuck off my shit!!!!! Dyke asses!!!,HOF
799,"If you're looking for work in , KS, check out this job:",NOT
800,": Im so glad Jhene Aiko said you mf right, Im bitter bc ppl need to understand its ok to feel some type of way when so",NOT
801,: I be going thru alot of shit but youll neva know my business its like everyone wanna be yo friend or want a title but ne,HOF
802,Good shit lil cuhh,HOF
803,I get to wrk at dnt talk to me until ....i haven't woke up yet bitch,HOF
804,Yuhp. Wena you have sense. These other ones think Im playing &amp; suck this info out of my thumb,HOF
805,: FUCK THAT BITCH,HOF
806,The numbers of wild salmon in Scotland's waterways are at their lowest ever level. Scientists warn that in the curr,NOT
807,Youre sifting through the treasures and trash of your inner w... More for Virgo,NOT
808,ashlea is singing the wii theme tune but it took me a solid seconds to work out thats what it was bc shes that shite xx,NOT
809,: Oh youve got to be Fucking kidding me.,HOF
810,: Ajax are two wins away from their wildest dreams coming true,NOT
811,": I've been putting out albums for a quarter century. If youre just discovering my music now, you may not know where to sta",NOT
812,": Once again Shorten proven to be lying, its so clear that Shorten is a liar - come on Australia dont vote for this liar a",HOF
813,Tried studying for whole minutes and I just . cant what the fuck please fix my brain,HOF
814,": parallels,,,,,,,,,,YOU REALLY CAN NOT MAKE THIS SHIT UP",HOF
815,": Oh glory days, the are TRIGGERED. Couldnt happen to better bunch of morons. People are sick of being told we are racist (",HOF
816,: BREAKING: The Pentagon has approved a plan to spend an additional $1.5 billion to build more miles of wall along the U,NOT
817,uNrElEaSeD eMoTewait fuck i'm late to the leak it's been released,HOF
818,: have you ever just randomly cried because youve been holding shit in for too long?,HOF
819,: Me staring at my carmex only after applying it minutes ago ment do it Dont do it Dont do it Dont do it,NOT
820,It's your turn at bat Mr. President!,NOT
821,No Im getting tickets tomorrow morning,NOT
822,: If you openly call another crew faggots and tell us were trash because we simply protect our ship from you and yo,HOF
823,: There is absolutely no fucking way Jo crackhead ass stays serious while Hero says naughty sexual stuff in her ear. I want t,HOF
824,It's so fucking good.,HOF
825,You sick up stairs,HOF
826,Getting out the house now !,NOT
827,Im this old OK WE FUCKING GET IT. YALL OLD AS FUCK.,HOF
828,: These Jihadis sponsored by Pakistan are spread all over India....they need to be hounded and thrown in before they get more o,HOF
829,: HELLO WHAT THE FUCK,HOF
830,: Have yall identified yall rapey ass homeboys yet ? Or are yall still blind to it?,HOF
831,": Sylvester is unique! He puts his head and heart into everything he does. Then, wear his costume and he gets in line, to hav",NOT
832,Very trash like.,NOT
833,Rape a pregnant bitch and tell my friends I had a threesome,HOF
834,: Were at stereo live and % of the people here dont know hes not here. Night culture handled this really poorly. No ann,NOT
835,": John Bolton on Venezuela: ""The Russians like nothing better than putting a thumb in our eye. They're using the Cubans as surro",NOT
836,These suck fuck,HOF
837,Get Dr Seusss words out of your mouth. He once threatened to sue a prolife group that put,HOF
838,BITCH IDGAF LMAO,HOF
839,Join our Nursing and Midwifery lecturers to learn more about JCU's Bachelor of Nursing Science and the double degre,NOT
840,aaaa kak cin luvs you,NOT
841,BIT DUA'S PERFORMING WITH BLACKPINK WHATRTTFFFCCSHSH,NOT
842,: Dont tell nobody shit we do so i could keep fuckin u,HOF
843,: I know how hard it is to just sit back and everything feel out of your control. Youre going to be thankful you didnt,NOT
844,thank you father,NOT
845,go to rehab,NOT
846,": please, turn your phone off and go to sleep. you're safe. we believe in everything you're saying. please,",NOT
847,Remember Monty Python and the Holy Grail? You dont vote for Kings.,NOT
848,: Bitch if I think my bitch is badder than Rihanna I can!! Cuz she is idgaf who think differently,HOF
849,were furocious vegas golden knights fans!congratulations jordan b on your shutout! and keoni? and what ipolani? t,NOT
850,: This guy is a world-class asshole,HOF
851,"Either way he did need to go, a fireplace salesman in charge of the MoD, it's a no from me.",NOT
852,OMG THEYRE LIVE,NOT
853,": ive come to conclusion that Im a fucking dumb ass...thats it, thats the tweet. gn",HOF
854,: not a damn day passes where i do not think about this,HOF
855,": To support DJT the rest of you can all kiss my ass, so form a line bitches.Your bones will be picked at by Vultures..",HOF
856,little cute girl fucking from behind hardly,HOF
857,: I'm going to be on in minutes. I expect the highest rated Tucson show of all time,NOT
858,Im screaming. You and fucking birds.,HOF
859,: Before ya start w ya bull crap shes embodying the goddess of love and sweet river,NOT
860,this what you get for tryna get kfc as if popeyes isn't superior,NOT
861,My Ass Need To Be Sleep...,HOF
862,For sure for me is ppl that do shit that tries to be cool or always tryna be a tough guy or using being a,NOT
863,: No one:My TLcroll downKeep scrollingnow youre obl,NOT
864,: are you a racist?,HOF
865,"Damn right, I just want Petey to come in with a Flow so they can be the Flow Bros",NOT
866,: TAEHYUNGS ASS I CANT BREATHEIERJDJ,HOF
867,ok true. Fuck seungri but music wise i kinda liked them. Ohhh hyukoh is pretty nice too,HOF
868,The the Asian government has no use for these government officials that are affiliated to the hells angels motorcycle club,NOT
869,"ty the ppl wholistened, means everything me",NOT
870,: If youre an anti-vax candidate I will not vote for you and no one else should.,HOF
871,Living in barns n shit,HOF
872,": For Washington Republicans to repeal Obamacare, they'll have to go through us",NOT
873,They were a damn seed!,NOT
874,i want a steve or bucky or stevebucky but yall keep saying the only ones i can find suck,HOF
875,: There will never be another . All u young spittaz tryna copy his style are fake fucking frauds. Shit versions.,HOF
876,: you need to get tested period if you having sex at all.... like y'all really dirty af,HOF
877,: Heres my theory: Bran can see everything - we presume hes looking at important stuff but hes actually spen,NOT
878,"That look on Bernie's face is priceless. ""I've spent years developing this con and this dumb br",HOF
879,He is so stupid,HOF
880,: just invented the sequel to the game fuck marry kill its called stan cancel mute,HOF
881,An acting ass actor. Dinklage.,HOF
882,people followed me // automatically checked by,NOT
883,: oh shit i didnt realize my mic was on and recording,HOF
884,: Did the holy water start to boil?,NOT
885,": Im actually tired bro, like from the bottom of my heart. I am tired",NOT
886,": Why my Korean ass father always gotta top my stories bruh, I told him there was a school shooter threat at CSULB and he said",HOF
887,: I have a good feeling about the rest of . Not even gone hold you .,NOT
888,Lame ass nigga doin lame ass shit,HOF
889,Fuck everybody,HOF
890,Lmfao youre a loser!!,HOF
891,": Here's the problem with Manila: I like you, but sometimes no. When you go and represent the country, walang reklamo. P",NOT
892,I want to walk all over you Smother your face with my massive black cheeksMind fuck your brain leave you locked i,HOF
893,"btsanalytics: Final BTS (BTS_twt) vote! minutes left, Tweet/RT/Reply below!",NOT
894,: This shit bout fake ass hell,HOF
895,": You should be sorry. You've just alienated one of the largest TV audiences in the country. We'll never use your product,",NOT
896,: And Jacob Batalon. Can people give him the recognition he fucking deserves already?? Im mad.,HOF
897,Okayyyy where ya going,NOT
898,": bitch, are you dumb-d-dumb-dumb-dumb-d-dumb-dumb-dumb? Stoopid",HOF
899,WHAT THE FUCK,HOF
900,Youre right...dont vote.,NOT
901,"I'll be midway through chats then all of sudden, they evaporate into a white screen. It's fucking creepy and dodgy bru",HOF
902,Relationships in America are trash for the most part. Other cultures with so much less technology and money are bet,HOF
903,I think it's okay as long as no one think they are superior for using a different term than other pe,NOT
904,: Refluxgate - Get the help you need for your LPR (Silent Reflux),NOT
905,HOLY FUCK,HOF
906,: If you aint industry I dont fuck with you,HOF
907,Fuck le bah,HOF
908,: LMFAOOOOO Bitch wtf,HOF
909,Oh fuck its May,HOF
910,: did you not fucking tell all-stars to get paid,HOF
911,Did you see it? You should check out the thread because both of those things come up. It's fucking rough.,HOF
912,"Because it is an AU. By all means, the names can be changed",NOT
913,": they could easily have said bucky, peggy, im with you BUT THEY CHOSE TO FUCKING PUT I LOVE YOU i love my bisexual ico",HOF
914,fuck yes read this thread,HOF
915,: the dera sacha sauda followers help those who are mentally unstable,NOT
916,She's a half an hour fucking late I'm pissed,HOF
917,: Nipsey didnt even fuck with complex cus of shit like this he literally said it in a live interview,HOF
918,apparently jon snow ate my ass,HOF
919,": If you give up, nothing will eve get better in our country, or our world - Senator Jennifer McClellen",NOT
920,Never been this silent,NOT
921,people followed me // automatically checked by,NOT
922,": thug that shit out , better days coming.",HOF
923,Get Along punkie!translate then exceptivelypeculiar people.,NOT
924,": Mr , You just said in UP that after there has been no dhamaka didnt you? You were lying. Your lie has been fu",HOF
925,": Gaon Digital Chart Weekly: Dance The Night Away - (839,026,606 total) [-2]",NOT
926,: the fact that shes looking at him like this is the most romantic shit ever is sending me,HOF
927,": We didnt even create Mr. Mime, he just appeared in the original game data during development and we were too scared to re",NOT
928,: Who was president in ? What did he do about it?,HOF
929,": Malcolm X was born on May , - years ago today. He was so many things to so many people, and one of the most tr",NOT
930,I will never get over how talented cam is okay bye Im gonna shut up now Im so proud of my cam,NOT
931,"You have to understand our previous president was an illegal intruder from Kenya. He was born in Nairobi, Kenya. Hi",NOT
932,"could tell his supporters""I phucked your mother and I am your father",HOF
933,: if this camerawork is trash im gonna ACTUALLY cry it's AM IN THE MORNING HERE and european african and asian ARMYs b,HOF
934,: THIS GAME FUCKING SUCKS DOGG!!! FUCKKKKKKKKKKKKKKKK!!!!!!!!! SEASON TODAY SHOULD BE EVEN BETTER.........,HOF
935,: If you call it bags dont fucking talk to me,HOF
936,I just looked them up. My goodness you're right. They're a bit Pterodactyl-ish,NOT
937,emma shut up youre coming,NOT
938,: Suck &amp; FuckLeft or Right,HOF
939,DELTARUNES TRACKS IS FUCKING BANGERS ALL OF EM,HOF
940,"Hi Yvonne, this is to make full text of accepted author manuscripts published in pe",NOT
941,: Coworker brought in vegan lasagna today and Im ready to knock all that shit over.,HOF
942,: This is a nice thread for Game of Thrones called What was the fucking point?,HOF
943,My hot water heater went out today-That damn trump got me again!!!,HOF
944,: How useless do u feel when ur mates upset over a CUNT of a boy n knowing theres fuck all u can do about it apart from w,HOF
945,"Kinda want to go to the hot rub, kinda want to smoke amd go to bed",NOT
946,Because the refs do suck. They are pathetic actually,HOF
947,President Al-Sisi and Ramadan breakfast with some of the great Egyptian people,NOT
948,holy shoot theyre nextehbsjsk,NOT
949,Im so tired of following people from jail on FB shit is so annoying,HOF
950,"Lol XD, where do I come up with this shit",HOF
951,Ooo bro u got a reply on this go get it!!! Get it get it get it!!! Follow yo dreams boy!!!,NOT
952,HERE YOU GO,NOT
953,"Such arrogant assholes these Trump enablers, GOP corrupt thugs!!!",HOF
954,Watch it: wife in bikini Tori Black fucking fervently on the couch...,HOF
955,: [in a dimly lit cellar]My son: today is career day at my school but I didnt tell my dad because I think his job is boring! Co,NOT
956,: I asked my boyfriend to go get me some pads because I didnt trust him to get the right tampons and hes come back with baby wip,NOT
957,: Fuck sake didny know this wis an option,HOF
958,"I can agree to that, and we get along too! Lol",NOT
959,This ass whooping is appropriate if I see him,HOF
960,"Im sick that Houston lost, this GS always winning shit is boring honestly",HOF
961,Damn but my switch,HOF
962,omg shut the fuck up itsrally nobody cares about what you tweet,HOF
963,: This is the funniest fucking thing Ive ever seen,HOF
964,Trump is a pariah who will be removed from office. The worst in history.,NOT
965,: might fuck around and || / \let you break my heart | | / \,HOF
966,astroad dvd: h-me: [struggling to find jinjins calling card] ssSHUT UP,HOF
967,Because shes ass. Like the cyst on her ass.,HOF
968,Was gonna try to get on the computer today but my animals pushed me to get up and down and now my knee BIG HORTS,NOT
969,that IS australias ass!!!,HOF
970,: NOT MARIAH WIPING HER TEAR THEN THROWING AWAY THE TISSUE LIKEEJDJSJZJJSS,NOT
971,: Me having a mental breakdown during the break of the APUSH exam knowing I still dont know how to HIPP documents for t,NOT
972,": Good Morning Patriots""Let the words of my mouth and the meditation of my heart be acceptable in your sight O Lord,",NOT
973,: People are just mad in this country. I asked this guy for the money I loaned him and he said he doesn't think I need it n,NOT
974,Damn skippy! It's perfect!,HOF
975,: If youre working towards something HANDLE THAT SHIT BIHHHH,NOT
976,": if you're not upset with our country right now you probably fit into one of these categories:- straight, white male-",NOT
977,": Sarazanmai : Once you can cut the peel off an apple, you can start cooking. There are only two types of people in this wor",NOT
978,: What the FUCK !!!! Plz tell me these r a joke ?!??,HOF
979,": bts and txt are two different groups, just bc they're both under bh, doesn't mean they're samebefore they debuted so many o",NOT
980,: but would you be able to rest?you can rest now,NOT
981,: Numb my shit again,HOF
982,Did you ever go to Shawns concert?,NOT
983,": Hey Lacey, you know my intentionsHey Lacey, you don't need no ringBearing the cross that is your callingCome lay your",NOT
984,: Barr does not answer Hirono question does he think it is ok for the president to tell his WH counsel to lie. says not criminal,NOT
985,I JUST SUBMITTED MY LAST FINAL PAPER IM FUCKING FREE BITCHES,HOF
986,Me as fucking fuck,HOF
987,like im sorry but jake paul shouldve been over and done with YEARS ago. he made a half ass apology for filming a de,HOF
988,: yall waited for a white woman to say that james charles is problematic trash to cancel him? when poc been telling yall that f,HOF
989,Brie looks like a father of two-,NOT
990,: ) Fuck dem kids2) fuck conservatives3) IF I WANT BIRTH CONTROL BECAUSE I WANT TO BE RAWDOGGED IN THE BACK OF AN APPLEBEE,HOF
991,I forgot how much buying concert tickets stresses me the FUCK OUT,HOF
992,: (Kept Secret + Tyler Winxx)Got Damn It!!! Got Damn It!!!! Diggin' Out Pr,NOT
993,: Never forget that the Tories couldn't have brought in austerity without the Lib Dems.,NOT
994,Delete this asap. You're drop dead beautiful..,NOT
995,Yal Ever Had A Ex You Just Wish You Never Talked Too Like Bitch Die!,HOF
996,: We've all known from the day Barr opened his lying mouth to Congress he was only interested in covering trump's crooked ass,HOF
997,": people in could face amputations due to the lack in health funding, warnsWill you mention this in your",NOT
998,"Don't give a fuck about what?Okay, bye bye!",HOF
999,These feminists got to stop with this Dany shit,HOF
1000,: just found out girls can die,HOF
1001,you're welcome,HOF
1002,: He fucks his half brother after he found out he was gay,HOF
1003,: yall wanna ban abortions BAN THIS SHIT,HOF
1004,"Toxic people in my life, man,I probably should just cut em off, better off if they was gone for good",NOT
1005,The entire plot is basically what Trunks did in Dragon Ball Z (multiverse theorys a bitch),HOF
1006,: skz: [are handsome]also skz: [puts spoon in their mouth] [automatically becomes more handsome],NOT
1007,: everyone: wow youre so nice!! i thought you were gonna be a bitch!!!me:,HOF
1008,"Rent out the house, use the money to fund your adventures! Go go go!!",NOT
1009,: i would die for keanu reeves i think,NOT
1010,The bare facts are Days gone is a triumph and i thank you all for your hard work.,NOT
1011,Tell me who the fuck U wanna be,HOF
1012,He could have cut off his own hand to show how sorry he was &amp; it would not have made a blind bit of,HOF
1013,"Have you ever looked into a microscope? I have, but probably not since sophomore year biology in high school. But i",NOT
1014,: JDNSJSNSNSJSN I FINALLY FINISHED THIS AFTER A FEW WEEKS AND IM FUCKING LOVING IT AAAAAAAAAAAAAAAAA https:,HOF
1015,": Trump is also s bit of a ""notorious flouter"" of Constitutional obligations, ethics rules and oaths of office. Oh well!",NOT
1016,Fuck off,HOF
1017,: a haiku by Seunghyubmy legs are so longlook at my good proportionsfuck all short people,HOF
1018,"I am so embarrassed now ahaha - it sounded just like you, I am sorry lol",NOT
1019,"Im just looking at myself like, can you see who youre asking? Mans deader than Man Us hopes and dreams.",NOT
1020,: Draymond had LeBron eyes looking like that too. Nigga dead ass be digging in his butt before games,HOF
1021,": A next ting, dem lecturer ya wah fit months worth a work inna hours. Mi look like mi have infinity gauntlet pon mi hand a",NOT
1022,: I will be interviewed by Steve Hilton tonight at :00 P.M. on . Enjoy!,NOT
1023,The Montlake Bridge has reopened to traffic at :31:01 PM,NOT
1024,"Jesus did not scare the children He invited them ,* Suffer the little children to come unto Me *R",NOT
1025,Yall gotta stop coming for peoples pockets cause you got a couple dollars in yours. Especially people you never me,NOT
1026,: Unwritten rule : you only get to choose her nail color only if youre paying .,NOT
1027,You can go to college/university if you want to but you should know that any school that isnt free is being sold t,NOT
1028,this why this generation stupid :/,HOF
1029,Dodgers with the W and Urias with the save good shit,NOT
1030,: Youve got muscles everywhere but your muscled ass is the best Ive ever fucked,HOF
1031,"You're for Impeaching Trump? Well, I hope you lose re-elecction.",NOT
1032,: Listen eggs .. the gap on twitter is so fucking big and we need to fucking decrease it !! Let's get this tweet to k RTs a,HOF
1033,omigosh i kNEW IT YOURE GORGEOUS AAAAAAA,NOT
1034,Damn feels bro,HOF
1035,I need to go back!!!,NOT
1036,hes got sick flow,NOT
1037,: i might fuck around and buy a horse,HOF
1038,Guuuurls got skills! Lmfao,HOF
1039,: Beyonc said have a life before being a wife and thats what the fuck we gon do.,HOF
1040,Ahha you're my accountant now low-key,NOT
1041,: We need a complete and total shutdown on starchitects until we find out whats going on.,NOT
1042,"Cops are fucking disgusting, you can't change my mind.",HOF
1043,: its not even about the money but its hot as fuck how he told her what he wanted,HOF
1044,": yup, he's going to your concert",NOT
1045,": productive meetings today about this music. theyre starting to believe i see. a lot more in store, LEGIT SHIT!",HOF
1046,Anyone that uses the term rad in might need to be medicated.,NOT
1047,: Labours reckless plan would hand benefit payments to the rich and cut support to those that need it most. It would a,NOT
1048,Seulgi the cutest bitch,HOF
1049,: i suck at texting unless:1. were in a relationship . i like you3. me &amp; you are close af,HOF
1050,"Desperation is setting in for the Democratic Party... Rep: If We Dont Impeach , He",NOT
1051,": Looking to drop a few more pounds. What exercises are good for when you dont really want to move, but still want to knock",NOT
1052,"Sunrise for May , at :52AM! The day's High is F with a Low of F. Current conditions are Cloudy.",NOT
1053,: You no get leg to run but you are causing panic in public and everybody go run leave u if that shit happens ..Even you ma,NOT
1054,"Ah, you're better than this love",NOT
1055,if this isn't the most boring episodes i swear to fuck,HOF
1056,"I'll make you trust me. And when you've told me everything I need to know, I'll kill you. -Light",NOT
1057,: HOLY SHIT HE WAS RIGHT THERE,HOF
1058,": donnt comment ""LMAO"" on my media unless your ass is detached from yourself. send me a picture, of your ass on the ground. yo",HOF
1059,"Im so fucking fucked up, okay?",HOF
1060,Lock up all of them Corruption,HOF
1061,: Bill Barr's inability to answer 's question about whether the president or anyone in the White House su,HOF
1062,"Rep Nadler, This patriotic American supports President Trump, so youre gonna have to",NOT
1063,The golden question did he saw our rapline I wanna seee his reaction damn it,NOT
1064,how are you today? i hope you're doing well.,NOT
1065,GO USTe!!!,NOT
1066,Thats a lotta ass,HOF
1067,": friends: you good?me: yea, fuck him also me:",HOF
1068,: I'd be interested to know who bought my postcard from in Edinburgh if you're out there,NOT
1069,": my girlfriend: damn, kim and kanye are having another baby. they should name it wildme: wild? why?...wild west?",NOT
1070,: females get beat by a nigga &amp; go back... fuck you see in him? a rematch?,HOF
1071,": I just told my mom and were so proud of you, she said fuck that racist Flanders bitch",HOF
1072,: WHEN YOU AND THE SQUAD GO TO MCDONALD'S AND GET A BIG MAC,NOT
1073,": Rep. Jerry Nadler: ""I think there are great difficulties for the attorney general at this point. Besides the fact that he clea",NOT
1074,: Damn I got teary eyed,HOF
1075,FAKE NEWS IS THE MAIN ENEMY OF AMERICALets tell these CROOKS: YOU ARE FI,HOF
1076,No need to be nice. They want to cut your head off,NOT
1077,": Treat her like the fuck meat that she is, fuck her tight cunt hard and rough so she remembers who is her true master. htt",HOF
1078,I have never worked on my birthday. Nor gone to school.,NOT
1079,": If you're meditating in a cave, keep your cameras away mate.",NOT
1080,Fuck your book,HOF
1081,is that a vacuum cleaner with a mouth,NOT
1082,WHO DID THAT? ARIANA FUCKING GRANDE DID THAT BITCH,HOF
1083,"days of work down, more to go send help and chocolate x",NOT
1084,Damn,HOF
1085,: DOUBLE STOP ON THE GOAL LINE! DOUBLE STOP ON THE GOAL LINE!,NOT
1086,She's gorgeous,NOT
1087,: bees really out here throwing ass now,HOF
1088,: more days,NOT
1089,: Be the face of BTS which means dont be rude under other artists' tweets or any post that mentioned BTS with them. U gu,NOT
1090,: Vegans think theyre so sick,HOF
1091,"null Another hour! It's May , at :00PM",NOT
1092,: Gavin Williamson has wrecked his own career - he will go down in history as the Defence Secretary sacked over a breach of conf,NOT
1093,So you get it.,NOT
1094,If youre against abortion then dont abort. Let people do what the fuck they want. You cant stop them. Give up.,HOF
1095,"Rudy, youre either a lunatic, or senile!",HOF
1096,: Scroll downKeep scrollingnow youre obligated to r,NOT
1097,"Sorry, I am committed to being at that date!",NOT
1098,I dont fuck wit like that no mo but i never turn down a good turn up. Me and my Turks hating from outside th,HOF
1099,: What a great ass,HOF
1100,: Wow youre a fucking snitch,HOF
1101,: Fuck knows? But being as you're only showing me % of the stadium and those people are stood up covering the empty seat,HOF
1102,I think he will plead the Fifth Amendment because he's involved and he doesn't want to incriminate himsel,HOF
1103,: if we get an emotional vlive tonight im gonna eat my own fucking fist,HOF
1104,Lmaooooo bitch I feel the same way about your ass,HOF
1105,If I cant pick you up I cant fuck with you*,HOF
1106,the fucking headbands,HOF
1107,Im so sick of this. Why are they still in a position of power over our Country and Legal Citizens. This is insani,NOT
1108,"Perhaps most frustrating is the insinuation that s106 is used to shore up council finances. Rather than, you know,",NOT
1109,WOOOWWW ISNT THAT CONVENIENT!? ISNT THAT FUCKING CONVENIENT!?,HOF
1110,"wow, such the smartass you are, huh, pedophile?",HOF
1111,: taeils character development -&gt;20192017: idk why they think Im cute : hello Im a cutie (but the unchangin,NOT
1112,"Youre still in it mate, although I think they turn it on at home, like a cauldron their gaff isnt",NOT
1113,": Mazie Hirono (D-HI) accuses AG Barr of being a liar and of protecting the liar and grifter currently in the WH, call",NOT
1114,": I need rest, better thoughts, vibes, EVERYTHING!",NOT
1115,Convinced the bf to get this for me. Now I need the B&amp;N edition to go along with this &amp; the ARC,NOT
1116,when you're senpai calls you by you're first name,NOT
1117,"Morning, and ! Why do you think fiction today has more nuanced, developed villains than it used to have?",NOT
1118,: I do think Trump will be impeached and I also think future generations will ask why the fuck we let this go on for as long as,HOF
1119,": so in conclusion, fuck james charles, tati has won over my utmost respect, stan the mom of the beauty community",HOF
1120,Orange who?,NOT
1121,": AND BUTINA HAD A BIG FISH ON THE LINE: THE GOP -- NO COLLUSION, my sweet ass.",HOF
1122,: my future mother in-law: what will you cook for my sonme:,NOT
1123,: Lol I am sorry it is upside down!! Daddy eating my ass,HOF
1124,And now I kind of want a job making data visualizations for pornhub insights,HOF
1125,: DeMarcus Cousins as he leaves the floor: That shit hurt. I know that shit hurt.,HOF
1126,: Why would I be doing that? Youre not very good at this.,NOT
1127,Big facts,NOT
1128,"I couldn't agree more. Yes, We go abroad and expect to abide by that country's laws. Is it so strange th",NOT
1129,"who wants to go?!?! Message me so we can buy the tickets ASAP, can go in my car I got the hotel",NOT
1130,Embroidery would be a good place to start. Children have very small hands that are well-suited to fine needlework.,NOT
1131,"Im sorry for misinterpreting it, probably because I used the wrong words. Ive been overthinking lat",NOT
1132,: *steve rogers ass*america:,HOF
1133,Ehhhhh i dont know. The only cat Ive ever had my parents told me got sick and died but years l,NOT
1134,: hes fluent in english and he doesnt even need to tell us,NOT
1135,"Of course you love them, lol, you're one of them",NOT
1136,Now Golden State fans are mad cause we getting easy fouls... Hoe asses forget all the calls they got and we didnt the first two games..,HOF
1137,A bop is coming! Hes the legend!!!,NOT
1138,Fuck you,HOF
1139,: good morning girls and gays... a lot of you will literally NEVER look this good again in your ENTIRE life and youre wastin,NOT
1140,Jon a bitch.,HOF
1141,Christ I hope youre okay xoxox,NOT
1142,HOW CAN YOU BE SO FUCKING GOOD,HOF
1143,: nobody: my damaged ass: i feel like youre lying but okay,HOF
1144,: the moots who follow james charles u have hours before i cut yo ass off so get to unfollowing or else,HOF
1145,Go live in Iran bitch,HOF
1146,: Let's get a round going on the ass like this. Can that Hole handle the Power of the Dicks? Now at .,HOF
1147,": PERFECTLY-BEHAVED MACY IS ON TOMORROWS KILL LIST, ANYWAY. A on the behavior school means ideal with people AND dog",NOT
1148,: he not the only one that can put two balls in his mouth,NOT
1149,"Morning, If I've exclude a transaction is there away to unexclue it?",NOT
1150,": Turning Point USA's field director said ""I hate blacks ... like fuck them all.""Their spokeswoman said Hitler wouldn't have",HOF
1151,: one day bts will be so tired of collab question that jungkook willl straight away say that he wants to collaborate with floy,NOT
1152,: oregon said fuck these other stupid ass states,HOF
1153,"i've always supported coutinho, shame on u people",HOF
1154,: Want to know why people like me? Because Im open to where Ive been and I speak the truth. Want to know why people hate me?,NOT
1155,: fuck i forgot to take my gummy vitamins this morning today is gonna fucking suck ass,HOF
1156,"And we scootn up bout that beef shawty , turning that shit to a fucking chop beef party",HOF
1157,: Yall stuck kids in cages and separated them from their parents but youre pressed over a fetus. Fucking Republicans. h,HOF
1158,So stop fucking asking me. GOT IT ?!?!,HOF
1159,: [ Live] Get yo ass in here!,HOF
